name,shape,parameters,trainable,category
backbone.backbone.enc.enc3.block3.attn.qkv.weight,"[768, 256]",196608,True,Attention QKV + projection
backbone.backbone.enc.enc3.block3.attn.qkv.bias,[768],768,True,Attention QKV + projection
backbone.backbone.enc.enc3.block3.attn.proj.weight,"[256, 256]",65536,True,Attention QKV + projection
backbone.backbone.enc.enc3.block3.attn.proj.bias,[256],256,True,Attention QKV + projection
backbone.backbone.enc.enc3.block3.norm2.0.weight,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block3.norm2.0.bias,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block3.mlp.0.fc1.weight,"[1024, 256]",262144,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block3.mlp.0.fc1.bias,[1024],1024,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block3.mlp.0.fc2.weight,"[256, 1024]",262144,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block3.mlp.0.fc2.bias,[256],256,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block3.t_mlp.weight,"[256, 3]",768,True,Time conditioning
backbone.backbone.enc.enc3.block3.t_mlp.bias,[256],256,True,Time conditioning
backbone.backbone.enc.enc3.block4.cpe.0.weight,"[256, 3, 3, 3, 256]",1769472,True,3D convolution in CPE
backbone.backbone.enc.enc3.block4.cpe.0.bias,[256],256,True,3D convolution in CPE
backbone.backbone.enc.enc3.block4.cpe.1.weight,"[256, 256]",65536,True,CPE linear + norm
backbone.backbone.enc.enc3.block4.cpe.1.bias,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block4.cpe.2.weight,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block4.cpe.2.bias,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block4.norm1.0.weight,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block4.norm1.0.bias,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block4.attn.qkv.weight,"[768, 256]",196608,True,Attention QKV + projection
backbone.backbone.enc.enc3.block4.attn.qkv.bias,[768],768,True,Attention QKV + projection
backbone.backbone.enc.enc3.block4.attn.proj.weight,"[256, 256]",65536,True,Attention QKV + projection
backbone.backbone.enc.enc3.block4.attn.proj.bias,[256],256,True,Attention QKV + projection
backbone.backbone.enc.enc3.block4.norm2.0.weight,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block4.norm2.0.bias,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block4.mlp.0.fc1.weight,"[1024, 256]",262144,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block4.mlp.0.fc1.bias,[1024],1024,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block4.mlp.0.fc2.weight,"[256, 1024]",262144,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block4.mlp.0.fc2.bias,[256],256,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block4.t_mlp.weight,"[256, 3]",768,True,Time conditioning
backbone.backbone.enc.enc3.block4.t_mlp.bias,[256],256,True,Time conditioning
backbone.backbone.enc.enc3.block5.cpe.0.weight,"[256, 3, 3, 3, 256]",1769472,True,3D convolution in CPE
backbone.backbone.enc.enc3.block5.cpe.0.bias,[256],256,True,3D convolution in CPE
backbone.backbone.enc.enc3.block5.cpe.1.weight,"[256, 256]",65536,True,CPE linear + norm
backbone.backbone.enc.enc3.block5.cpe.1.bias,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block5.cpe.2.weight,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block5.cpe.2.bias,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block5.norm1.0.weight,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block5.norm1.0.bias,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block5.attn.qkv.weight,"[768, 256]",196608,True,Attention QKV + projection
backbone.backbone.enc.enc3.block5.attn.qkv.bias,[768],768,True,Attention QKV + projection
backbone.backbone.enc.enc3.block5.attn.proj.weight,"[256, 256]",65536,True,Attention QKV + projection
backbone.backbone.enc.enc3.block5.attn.proj.bias,[256],256,True,Attention QKV + projection
backbone.backbone.enc.enc3.block5.norm2.0.weight,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block5.norm2.0.bias,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block5.mlp.0.fc1.weight,"[1024, 256]",262144,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block5.mlp.0.fc1.bias,[1024],1024,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block5.mlp.0.fc2.weight,"[256, 1024]",262144,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block5.mlp.0.fc2.bias,[256],256,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block5.t_mlp.weight,"[256, 3]",768,True,Time conditioning
backbone.backbone.enc.enc3.block5.t_mlp.bias,[256],256,True,Time conditioning
backbone.backbone.enc.enc4.down.proj.weight,"[512, 256]",131072,True,Stem + pool/unpool
backbone.backbone.enc.enc4.down.proj.bias,[512],512,True,Stem + pool/unpool
backbone.backbone.enc.enc4.block0.cpe.0.weight,"[512, 3, 3, 3, 512]",7077888,True,3D convolution in CPE
backbone.backbone.enc.enc4.block0.cpe.0.bias,[512],512,True,3D convolution in CPE
backbone.backbone.enc.enc4.block0.cpe.1.weight,"[512, 512]",262144,True,CPE linear + norm
backbone.backbone.enc.enc4.block0.cpe.1.bias,[512],512,True,CPE linear + norm
backbone.backbone.enc.enc4.block0.cpe.2.weight,[512],512,True,CPE linear + norm
backbone.backbone.enc.enc4.block0.cpe.2.bias,[512],512,True,CPE linear + norm
backbone.backbone.enc.enc4.block0.norm1.0.weight,[512],512,True,Attention/MLP norms
backbone.backbone.enc.enc4.block0.norm1.0.bias,[512],512,True,Attention/MLP norms
backbone.backbone.enc.enc4.block0.attn.qkv.weight,"[1536, 512]",786432,True,Attention QKV + projection
backbone.backbone.enc.enc4.block0.attn.qkv.bias,[1536],1536,True,Attention QKV + projection
backbone.backbone.enc.enc4.block0.attn.proj.weight,"[512, 512]",262144,True,Attention QKV + projection
backbone.backbone.enc.enc4.block0.attn.proj.bias,[512],512,True,Attention QKV + projection
backbone.backbone.enc.enc4.block0.norm2.0.weight,[512],512,True,Attention/MLP norms
backbone.backbone.enc.enc4.block0.norm2.0.bias,[512],512,True,Attention/MLP norms
backbone.backbone.enc.enc4.block0.mlp.0.fc1.weight,"[2048, 512]",1048576,True,Block feed-forward MLP
backbone.backbone.enc.enc4.block0.mlp.0.fc1.bias,[2048],2048,True,Block feed-forward MLP
backbone.backbone.enc.enc4.block0.mlp.0.fc2.weight,"[512, 2048]",1048576,True,Block feed-forward MLP
backbone.backbone.enc.enc4.block0.mlp.0.fc2.bias,[512],512,True,Block feed-forward MLP
backbone.backbone.enc.enc4.block0.t_mlp.weight,"[512, 3]",1536,True,Time conditioning
backbone.backbone.enc.enc4.block0.t_mlp.bias,[512],512,True,Time conditioning
backbone.backbone.enc.enc4.block1.cpe.0.weight,"[512, 3, 3, 3, 512]",7077888,True,3D convolution in CPE
backbone.backbone.enc.enc4.block1.cpe.0.bias,[512],512,True,3D convolution in CPE
backbone.backbone.enc.enc4.block1.cpe.1.weight,"[512, 512]",262144,True,CPE linear + norm
